X,Time,Treatment
Treat_1h_rep1,1h,Treat
Treat_1h_rep2,1h,Treat
Treat_1h_rep3,1h,Treat
Treat_1h_rep4,1h,Treat
Treat_1h_rep5,1h,Treat
Treat_1h_rep6,1h,Treat
Treat_1h_rep7,1h,Treat
Treat_1h_rep8,1h,Treat
Control_1h_rep1,1h,Control
Control_1h_rep2,1h,Control
Control_1h_rep3,1h,Control
Control_1h_rep4,1h,Control
Control_1h_rep5,1h,Control
Control_1h_rep6,1h,Control
Control_1h_rep7,1h,Control
Control_1h_rep8,1h,Control
Treat_4h_rep1,4h,Treat
Treat_4h_rep2,4h,Treat
Treat_4h_rep3,4h,Treat
Treat_4h_rep4,4h,Treat
Treat_4h_rep5,4h,Treat
Control_4h_rep1,4h,Control
Control_4h_rep2,4h,Control
Treat_12h_rep1,12h,Treat
Treat_12h_rep2,12h,Treat
Treat_12h_rep3,12h,Treat
Control_12h_rep1,12h,Control
Control_12h_rep2,12h,Control
Control_12h_rep3,12h,Control
